Game Title                                    Console                                                               Publisher                               VGChartz Score    Critic Score    User Score    Total Shipped    Release Date    Last Update    genre
Resident Evil 2 (2019)                        /games/boxart/full_9562873AmericaFrontccc.jpg                         Capcom                                  N/A               N/A             N/A           11.20m           25th Jan 19     11th Oct 20    Action-Adventure
Taiko no Tatsujin                             /games/boxart/full_1007059AmericaFrontccc.jpg                         Namco                                   N/A               N/A             N/A           11.29m           26th Oct 04     18th Feb 20    Music
Max Payne                                     /games/boxart/full_2940010AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           11.50m           23rd Jul 01     06th Nov 20    Shooter
Super Mario 64 DS                             /games/boxart/full_5129174AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           11.06m           20th Nov 04     22nd Mar 20    Platform
Super Mario Land 2: 6 Golden Coins            /games/boxart/full_5947486AmericaFrontccc.jpg                         Nintendo                                N/A               9.0             N/A           11.18m           02nd Nov 92     N/A            Platform
Animal Crossing: Wild World                   /games/boxart/full_8328377AmericaFrontccc.jpg                         Nintendo                                N/A               8.5             N/A           11.75m           05th Dec 05     N/A            Simulation
The Room                                      /games/boxart/full_5205402AmericaFrontccc.jpg                         Fireproof Games                         N/A               N/A             N/A           11.60m           01st Sep 12     18th Mar 20    Puzzle
Gran Turismo 4                                /games/boxart/full_8555381AmericaFrontccc.jpg                         Sony Computer Entertainment             N/A               8.7             N/A           11.76m           22nd Feb 05     N/A            Racing
The Last of Us Remastered                     /games/boxart/full_6199072AmericaFrontccc.jpg                         Sony Computer Entertainment             N/A               9.5             N/A           11.78m           29th Jul 14     24th Sep 18    Action-Adventure
Super Mario 64                                /games/boxart/full_9007863AmericaFrontccc.jpg                         Nintendo                                N/A               9.7             9.2           11.91m           29th Sep 96     N/A            Platform
Gran Turismo 5                                /games/boxart/full_gran-turismo-5_118AmericaFront.png                 Sony Computer Entertainment             8.8               8.3             N/A           11.95m           24th Nov 10     N/A            Racing
FIFA 18                                       /games/boxart/full_5257064AmericaFrontccc.jpg                         EA Sports                               N/A               8.3             N/A           N/A              29th Sep 17     02nd Apr 18    Sports
Monster Hunter Rise                           /games/boxart/full_4913646AmericaFrontccc.jpg                         Capcom                                  N/A               N/A             N/A           12.00m           26th Mar 21     18th Jan 22    Action-Adventure
7 Days to Die                                 /games/boxart/full_4035614AmericaFrontccc.jpg                         The Fun Pimps                           N/A               N/A             N/A           12.00m           13th Dec 13     15th Aug 21    Role-Playing
Assetto Corsa                                 /games/boxart/full_2265290AmericaFrontccc.jpg                         Kunos Simulazioni                       N/A               N/A             N/A           12.00m           19th Dec 14     31st May 21    Racing
Resident Evil 7                               /games/boxart/full_2236381AmericaFrontccc.jpg                         Capcom                                  N/A               N/A             N/A           11.70m           24th Jan 17     11th Oct 20    Action-Adventure
Bomberman                                     /games/boxart/full_2625011AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           12.00m           01st Jan 87     19th Feb 21    Puzzle
NBA 2K19                                      /games/boxart/full_3878591AmericaFrontccc.jpg                         2K Sports                               N/A               N/A             N/A           12.00m           11th Sep 18     22nd Oct 20    Sports
Cities: Skylines                              /games/boxart/full_3703430AmericaFrontccc.jpg                         Paradox Interactive                     N/A               N/A             N/A           12.00m           10th Mar 15     27th Jan 21    Simulation
SOCOM                                         /games/boxart/full_7082524AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           12.00m           27th Aug 02     09th Mar 20    Shooter
Jak and Daxter                                /games/boxart/full_984377AmericaFrontccc.jpg                          Sony Interactive Entertainment          N/A               N/A             N/A           12.00m           03rd Dec 01     02nd Mar 20    Action-Adventure
Cooking Mama                                  /games/boxart/full_7971089AmericaFrontccc.jpg                         Majesco Entertainment                   N/A               N/A             N/A           12.00m           12th Sep 06     22nd Feb 20    Simulation
Left 4 Dead                                   /games/boxart/full_9779458AmericaFrontccc.jpg                         Valve                                   N/A               N/A             N/A           12.00m           17th Nov 08     19th Feb 20    Shooter
Diablo III                                    /games/boxart/full_diablo-iii_550AmericaFront.jpg                     Blizzard Entertainment                  8.4               9.0             N/A           12.00m           15th May 12     03rd Jan 18    Role-Playing
Half-Life 2                                   /games/boxart/6354662ccc.jpg                                          VU Games                                N/A               9.7             N/A           12.00m           16th Nov 04     N/A            Shooter
Assassin's Creed III                          /games/boxart/full_7383195AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           12.00m           30th Oct 12     21st Oct 20    Action-Adventure
